"group","pval","CIlower","CIupper","OR","a","c","b","d","pval.text"
"prey",1.73848131842347e-07,1.74327052167161,3.18117111140908,2.34323637279864,139,1832,46,1421,"p = 1.7e-07"
"preyMinusASD102",0.00220472932394165,1.23452579555439,2.32956092598486,1.6886879873326,100,1871,45,1422,"p = 0.0022"
"asd102",1.02793285194337e-20,5.42301835997015,16.9527705060775,9.26332767919736,129,1842,11,1456,"p = 1e-20"
"exome",9.26387945202191e-11,1.38653560329799,1.75061785761965,1.55779893925554,1072,899,636,831,"p = 9.3e-11"
"exomeMinusASD102",0.00127151464924506,1.09984629382152,1.38862147333326,1.23572343941429,943,1028,625,842,"p = 0.0013"
"exomeMinusPreyASD102",0.0307498813906013,1.01590125754917,1.28595465126493,1.14286923548205,843,1128,580,887,"p = 0.031"
"hek293t",6.42512690951415e-07,1.26034031625624,1.6103011648138,1.42432822460576,771,1200,456,1011,"p = 6.4e-07"
"hek293tMinusPrey",0.00243092322132209,1.09194548224133,1.40763293877384,1.23955177068457,640,1331,410,1057,"p = 0.0024"
"hek293tMinusPreyASD102",0.147477612867659,0.955291121384905,1.23696476725363,1.08685731376587,572,1399,401,1066,"p = 0.15"
